city,tiff_file,mask_file
Cali,dataset/urban_patches/urban_LC80090582019230LGN00_Cali_2_patch.tiff,dataset/urban_masks/urban_LC80090582019230LGN00_Cali_2_mask.tiff
Brooklyn,dataset/urban_patches/urban_LC80130322019242LGN00_Brooklyn_2_patch.tiff,dataset/urban_masks/urban_LC80130322019242LGN00_Brooklyn_2_mask.tiff
Montréal,dataset/urban_patches/urban_LC80140282019217LGN00_Montréal_2_patch.tiff,dataset/urban_masks/urban_LC80140282019217LGN00_Montréal_2_mask.tiff
Manhattan,dataset/urban_patches/urban_LC80140322019265LGN00_Manhattan_1_patch.tiff,dataset/urban_masks/urban_LC80140322019265LGN00_Manhattan_1_mask.tiff
Manhattan,dataset/urban_patches/urban_LC80140322019265LGN00_Manhattan_2_patch.tiff,dataset/urban_masks/urban_LC80140322019265LGN00_Manhattan_2_mask.tiff
Queens,dataset/urban_patches/urban_LC80140322019265LGN00_Queens_3_patch.tiff,dataset/urban_masks/urban_LC80140322019265LGN00_Queens_3_mask.tiff
Baltimore,dataset/urban_patches/urban_LC80150332019224LGN00_Baltimore_0_patch.tiff,dataset/urban_masks/urban_LC80150332019224LGN00_Baltimore_0_mask.tiff
Washington,dataset/urban_patches/urban_LC80150332019224LGN00_Washington_0_patch.tiff,dataset/urban_masks/urban_LC80150332019224LGN00_Washington_0_mask.tiff
Orlando,dataset/urban_patches/urban_LC80160402019231LGN00_Orlando_1_patch.tiff,dataset/urban_masks/urban_LC80160402019231LGN00_Orlando_1_mask.tiff
Pittsburgh,dataset/urban_patches/urban_LC80170322019222LGN00_Pittsburgh_3_patch.tiff,dataset/urban_masks/urban_LC80170322019222LGN00_Pittsburgh_3_mask.tiff
Tampa,dataset/urban_patches/urban_LC80170402019238LGN00_Tampa_1_patch.tiff,dataset/urban_masks/urban_LC80170402019238LGN00_Tampa_1_mask.tiff
Toronto,dataset/urban_patches/urban_LC80180302019213LGN00_Toronto_2_patch.tiff,dataset/urban_masks/urban_LC80180302019213LGN00_Toronto_2_mask.tiff
Cleveland,dataset/urban_patches/urban_LC80180312019261LGN00_Cleveland_2_patch.tiff,dataset/urban_masks/urban_LC80180312019261LGN00_Cleveland_2_mask.tiff
Tegucigalpa,dataset/urban_patches/urban_LC80180502019245LGN00_Tegucigalpa_2_patch.tiff,dataset/urban_masks/urban_LC80180502019245LGN00_Tegucigalpa_2_mask.tiff
Detroit,dataset/urban_patches/urban_LC80190312019236LGN00_Detroit_1_patch.tiff,dataset/urban_masks/urban_LC80190312019236LGN00_Detroit_1_mask.tiff
Detroit,dataset/urban_patches/urban_LC80190312019252LGN00_Detroit_2_patch.tiff,dataset/urban_masks/urban_LC80190312019252LGN00_Detroit_2_mask.tiff
Atlanta,dataset/urban_patches/urban_LC80190362019220LGN00_Atlanta_1_patch.tiff,dataset/urban_masks/urban_LC80190362019220LGN00_Atlanta_1_mask.tiff
Atlanta,dataset/urban_patches/urban_LC80190362019236LGN00_Atlanta_2_patch.tiff,dataset/urban_masks/urban_LC80190362019236LGN00_Atlanta_2_mask.tiff
Atlanta,dataset/urban_patches/urban_LC80190372019268LGN00_Atlanta_1_patch.tiff,dataset/urban_masks/urban_LC80190372019268LGN00_Atlanta_1_mask.tiff
Atlanta,dataset/urban_patches/urban_LC80190372019268LGN00_Atlanta_3_patch.tiff,dataset/urban_masks/urban_LC80190372019268LGN00_Atlanta_3_mask.tiff
Chicago,dataset/urban_patches/urban_LC80220312019241LGN00_Chicago_1_patch.tiff,dataset/urban_masks/urban_LC80220312019241LGN00_Chicago_1_mask.tiff
